name,calories,protein,fat,carbohydrate,fiber,sugars,sodium,cholesterol,vitamin_c,calcium,category
Cornstarch,381,0.26,0.05,91.27,0.9,0.0,0.0,0.0,0.0,0.0,Balanced
"Nuts, pecans",691,9.17,71.97,13.86,9.6,3.97,0.0,0.0,0.0,0.0,High-Fiber
"Eggplant, raw",25,0.98,0.18,5.88,3.0,3.53,0.0,0.0,0.0,0.0,Low-Carb
"Teff, uncooked",367,13.3,2.38,73.13,8.0,1.84,0.0,0.0,0.0,0.0,High-Fiber
"Sherbet, orange",144,1.1,2.0,30.4,1.3,24.32,0.0,0.0,0.0,0.0,Balanced
"Cauliflower, raw",25,1.92,0.28,4.97,2.0,1.91,0.0,0.0,0.0,0.0,Low-Carb
"Taro leaves, raw",42,4.98,0.74,6.7,3.7,3.01,0.0,0.0,0.0,0.0,Low-Carb
"Lamb, raw, ground",282,16.56,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Cheese, camembert",300,19.8,24.26,0.46,0.0,0.46,0.0,0.0,0.0,0.0,Balanced
Vegetarian fillets,290,23.0,18.0,9.0,6.1,0.8,0.0,0.0,0.0,0.0,Low-Carb
"PACE, Picante Sauce",25,0.0,0.0,6.25,3.1,6.25,0.0,0.0,0.0,0.0,Low-Carb
"Goji berries, dried",349,14.26,0.39,77.06,13.0,45.61,0.0,0.0,0.0,0.0,High-Fiber
"Mango nectar, canned",51,0.11,0.06,13.12,0.3,12.45,0.0,0.0,0.0,0.0,Balanced
"Crackers, rusk toast",407,13.5,7.2,72.3,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Chicken, boiled, feet",215,19.4,14.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Quail, raw, meat only",134,21.76,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Pie, lemon, fried pies",316,3.0,16.1,42.6,2.6,0.0,0.0,0.0,0.0,0.0,Balanced
"Peppers, raw, jalapeno",29,0.91,0.37,6.5,2.8,4.12,0.0,0.0,0.0,0.0,Low-Carb
"Winged bean tuber, raw",148,11.6,0.9,28.1,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Salami, turkey, cooked",172,19.2,9.21,1.55,0.1,1.12,0.0,0.0,0.0,0.0,Low-Carb
"Grapes, raw, muscadine",57,0.81,0.47,13.93,3.9,0.0,0.0,0.0,0.0,0.0,Balanced
"Nuts, raw, ginkgo nuts",182,4.32,1.68,37.6,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Spices, ground, savory",272,6.73,5.91,68.73,45.7,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Candies, sesame crunch",516,11.6,33.3,50.3,7.7,31.17,0.0,0.0,0.0,0.0,High-Fiber
"Cheese, low fat, cream",201,7.85,15.28,8.13,0.0,5.82,0.0,0.0,0.0,0.0,Low-Carb
"PACE, Green Taco Sauce",25,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,Low-Carb
"Syrup, Canadian, maple",270,0.0,0.0,67.38,0.0,59.92,0.0,0.0,0.0,0.0,Balanced
"Ostrich, raw, top loin",119,21.67,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Chewing gum, sugarless",268,0.0,0.4,94.8,2.4,0.0,0.0,0.0,0.0,0.0,Balanced
"Nuts, dried, pine nuts",673,13.69,68.37,13.08,3.7,3.59,0.0,0.0,0.0,0.0,Balanced
"Pasta, unenriched, dry",371,13.04,1.51,74.67,3.2,2.67,0.0,0.0,0.0,0.0,Balanced
"McDONALD'S, Side Salad",20,1.03,0.19,4.3,1.6,2.24,0.0,0.0,0.0,0.0,Low-Carb
"Cookies, Marie biscuit",406,7.05,10.58,70.54,3.5,21.16,0.0,0.0,0.0,0.0,Balanced
"Broccoli, raw, chinese",30,1.2,0.76,4.67,2.6,0.88,0.0,0.0,0.0,0.0,Low-Carb
"McDONALD'S, Hash Brown",271,2.48,16.3,28.56,2.8,0.54,0.0,0.0,0.0,0.0,Balanced
"Agave, raw (Southwest)",68,0.52,0.15,16.23,6.6,2.58,0.0,0.0,0.0,0.0,High-Fiber
"Emu, raw, outside drum",103,23.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Nuts, dried, beechnuts",576,6.2,50.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Currants, dried, zante",283,4.08,0.27,74.08,6.8,67.28,0.0,0.0,0.0,0.0,High-Fiber
"Lentils, raw, sprouted",106,8.96,0.55,22.14,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Gravy, mix, dry, onion",322,9.0,3.0,67.64,6.0,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Pie, fruit, fried pies",316,3.0,16.1,42.6,2.6,21.4,0.0,0.0,0.0,0.0,Balanced
"Snacks, cakes, popcorn",384,9.7,3.1,80.1,2.9,0.72,0.0,0.0,0.0,0.0,Balanced
"Snack, Mixed Berry Bar",383,13.16,10.53,58.84,7.9,26.32,0.0,0.0,0.0,0.0,High-Fiber
"Fish, raw, sheepshead",108,20.21,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Babyfood, pear, juice",47,0.0,0.0,11.86,0.1,7.28,0.0,0.0,0.0,0.0,Balanced
"Brussels sprouts, raw",43,3.38,0.3,8.95,3.8,2.2,0.0,0.0,0.0,0.0,Low-Carb
"Broccoli raab, cooked",33,3.83,0.52,3.12,2.8,0.62,0.0,0.0,0.0,0.0,Low-Carb
"Butter oil, anhydrous",876,0.28,99.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Chicory, raw, witloof",17,0.9,0.1,4.0,3.1,0.0,0.0,0.0,0.0,0.0,Low-Carb
"KEEBLER, Waffle Cones",424,6.5,5.3,87.7,1.8,31.6,0.0,0.0,0.0,0.0,Balanced
"KEEBLER, Waffle Bowls",424,6.5,5.3,87.7,1.8,31.6,0.0,0.0,0.0,0.0,Balanced
"Broccoli, raw, leaves",28,2.98,0.35,5.06,2.3,1.48,0.0,0.0,0.0,0.0,Low-Carb
"Durian, raw or frozen",147,1.47,5.33,27.09,3.8,0.0,0.0,0.0,0.0,0.0,Balanced
"Tomatoes, raw, orange",16,1.16,0.19,3.18,0.9,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Tomatoes, raw, yellow",15,0.98,0.26,2.98,0.7,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Egg custards, dry mix",410,6.9,6.4,82.8,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Peanut flour, low fat",428,33.8,21.9,31.27,15.8,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Fish, smoked, haddock",116,25.23,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"DENNY'S, french fries",282,3.41,14.13,35.2,3.5,0.85,0.0,0.0,0.0,0.0,Balanced
"Ground turkey, cooked",203,27.37,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"MURRAY, Vanilla Wafer",461,4.0,17.4,72.9,1.4,31.5,0.0,0.0,0.0,0.0,Balanced
"WENDY'S, french fries",301,3.73,14.1,39.73,4.0,0.4,0.0,0.0,0.0,0.0,Balanced
"Bread, toasted, wheat",313,12.96,4.27,55.77,4.7,6.42,0.0,0.0,0.0,0.0,Balanced
"Danish pastry, cheese",374,8.0,21.9,37.2,1.0,6.95,0.0,0.0,0.0,0.0,Balanced
"Nuts, glazed, walnuts",500,8.28,35.71,47.59,3.6,32.14,0.0,0.0,0.0,0.0,Balanced
"Spices, garlic powder",331,16.55,0.73,72.73,9.0,2.43,0.0,0.0,0.0,0.0,High-Fiber
"Oil, soybean lecithin",763,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Egg, fresh, raw, yolk",322,15.86,26.54,3.59,0.0,0.56,0.0,0.0,0.0,0.0,Balanced
"Fireweed, raw, leaves",103,4.71,2.75,19.22,10.6,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Beef, pastrami, cured",147,21.8,5.82,0.36,0.0,0.1,0.0,0.0,0.0,0.0,High-Protein
"Frankfurter, meatless",233,19.61,13.73,7.7,3.9,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Emu, raw, flat fillet",102,22.25,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Emu, raw, inside drum",108,22.22,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Ice creams, chocolate",216,3.8,11.0,28.2,1.2,25.36,0.0,0.0,0.0,0.0,Balanced
"Snacks, potato sticks",522,6.7,34.4,53.3,3.4,0.22,0.0,0.0,0.0,0.0,Balanced
"USDA Commodity, salsa",36,1.5,0.2,7.0,1.4,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Figs, uncooked, dried",249,3.3,0.93,63.87,9.8,47.92,0.0,0.0,0.0,0.0,High-Fiber
"Game meat, raw, horse",133,21.39,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Syrup, fruit flavored",261,0.0,0.02,65.1,0.0,65.0,0.0,0.0,0.0,0.0,Balanced
"Broccoli, raw, stalks",28,2.98,0.35,5.24,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Cream, cultured, sour",198,2.44,19.35,4.63,0.0,3.41,0.0,0.0,0.0,0.0,Low-Carb
"Gravy, canned, au jus",16,1.2,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"McDONALD'S, Hamburger",264,12.92,10.09,30.28,1.3,6.03,0.0,0.0,0.0,0.0,Balanced
"Cheese, port de salut",352,23.78,28.2,0.57,0.0,0.57,0.0,0.0,0.0,0.0,Balanced
SILK Original Creamer,100,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
SILK Hazelnut Creamer,133,0.0,6.67,20.0,0.0,20.0,0.0,0.0,0.0,0.0,Balanced
"Soup, mix, dry, onion",293,7.48,0.34,65.07,6.6,4.65,0.0,0.0,0.0,0.0,High-Fiber
"Mushrooms, raw, enoki",37,2.66,0.29,7.81,2.7,0.22,0.0,0.0,0.0,0.0,Low-Carb
Bacon and beef sticks,517,29.1,44.2,0.8,0.0,0.8,0.0,0.0,0.0,0.0,Balanced
"Salami, pork, Italian",425,21.7,37.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,Balanced
"Crackers, whole-wheat",427,10.58,14.13,69.55,10.3,1.19,0.0,0.0,0.0,0.0,High-Fiber
"Peanuts, raw, spanish",570,26.15,49.6,15.83,9.5,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Hominy, white, canned",72,1.48,0.88,14.26,2.5,1.82,0.0,0.0,0.0,0.0,Balanced
"Game meat, raw, moose",102,22.24,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Pears, red anjou, raw",62,0.33,0.14,14.94,3.0,9.54,0.0,0.0,0.0,0.0,Balanced
"Horseradish, prepared",48,1.18,0.69,11.29,3.3,7.99,0.0,0.0,0.0,0.0,Balanced
"Fish, raw, butterfish",146,17.28,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Lebanon bologna, beef",172,19.03,10.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
Ham and cheese spread,245,16.18,18.53,2.28,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"TACO BELL, Taco Salad",170,6.69,9.17,15.1,3.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Sauce, worcestershire",78,0.0,0.0,19.46,0.0,10.03,0.0,0.0,0.0,0.0,Balanced
"Candies, marshmallows",318,1.8,0.2,81.3,0.1,57.56,0.0,0.0,0.0,0.0,Balanced
"Hummus, home prepared",177,4.86,8.59,20.12,4.0,0.27,0.0,0.0,0.0,0.0,Balanced
Horned melon (Kiwano),44,1.78,1.26,7.56,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
Ice cream sundae cone,254,3.0,14.0,28.89,1.0,21.26,0.0,0.0,0.0,0.0,Balanced
"Peppers, raw, serrano",32,1.74,0.44,6.7,3.7,3.83,0.0,0.0,0.0,0.0,Low-Carb
"Cabbage, cooked, napa",12,1.1,0.17,2.23,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Peppers, dried, ancho",281,11.86,8.2,51.42,21.6,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Parsley, freeze-dried",271,31.3,5.2,42.38,32.7,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Spices, black, pepper",251,10.39,3.26,63.95,25.3,0.64,0.0,0.0,0.0,0.0,High-Fiber
"Spices, white, pepper",296,10.4,2.12,68.61,26.2,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Yambean (jicama), raw",38,0.72,0.09,8.82,4.9,1.8,0.0,0.0,0.0,0.0,Low-Carb
"Nuts, dried, pilinuts",719,10.8,79.55,3.98,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Kiwifruit, raw, green",61,1.14,0.52,14.66,3.0,8.99,0.0,0.0,0.0,0.0,Balanced
"Drumstick leaves, raw",64,9.4,1.4,8.28,2.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Yautia (tannier), raw",98,1.46,0.4,23.63,1.5,0.0,0.0,0.0,0.0,0.0,Balanced
"Candies, butterscotch",391,0.03,3.3,90.4,0.0,80.46,0.0,0.0,0.0,0.0,Balanced
"Cucumber, raw, peeled",12,0.59,0.16,2.16,0.7,1.38,0.0,0.0,0.0,0.0,Low-Carb
